received;score;is_arquivamento;hits;subject;processos;indicios;entry_id;html_file;html_filename;processed_publications
2025-06-25_082359;0;0;;Publicações do dia : 23/06/2025 | Jornal TRIBUNAIS SUPERIORES;;;0000000051A6618F9402A146AA36444B12802DEC0700788CE02B293FAA428AFEAEB37B50E1E900000000010C0000788CE02B293FAA428AFEAEB37B50E1E900005ED458550000;html\2025-06-25_082359__Publicações do dia _ 23_06_2025 _ Jornal TRIBUNAIS SUPERIORES.html;2025-06-25_082359__Publicações do dia _ 23_06_2025 _ Jornal TRIBUNAIS SUPERIORES.html;
2025-06-25_081530;0;0;;Publicações do dia : 25/06/2025 | Jornal SAO PAULO;;;0000000051A6618F9402A146AA36444B12802DEC0700788CE02B293FAA428AFEAEB37B50E1E900000000010C0000788CE02B293FAA428AFEAEB37B50E1E900005ED458530000;html\2025-06-25_081530__Publicações do dia _ 25_06_2025 _ Jornal SAO PAULO.html;2025-06-25_081530__Publicações do dia _ 25_06_2025 _ Jornal SAO PAULO.html;
2025-06-25_075144;0;0;;Publicações do dia : 24/06/2025 | Jornal AMAZONAS;;;0000000051A6618F9402A146AA36444B12802DEC0700788CE02B293FAA428AFEAEB37B50E1E900000000010C0000788CE02B293FAA428AFEAEB37B50E1E900005ED458510000;html\2025-06-25_075144__Publicações do dia _ 24_06_2025 _ Jornal AMAZONAS.html;2025-06-25_075144__Publicações do dia _ 24_06_2025 _ Jornal AMAZONAS.html;
2025-06-25_074905;0;0;;Publicações do dia : 24/06/2025 | Jornal ESPIRITO SANTO;"5011868-42.2025.8.08.0024; 5012812-44.2025.8.08.0024; 5041327-26.2024.8.08.0024";;0000000051A6618F9402A146AA36444B12802DEC0700788CE02B293FAA428AFEAEB37B50E1E900000000010C0000788CE02B293FAA428AFEAEB37B50E1E900005ED4584F0000;html\2025-06-25_074905__Publicações do dia _ 24_06_2025 _ Jornal ESPIRITO SANTO.html;2025-06-25_074905__Publicações do dia _ 24_06_2025 _ Jornal ESPIRITO SANTO.html;
2025-06-25_074710;0;0;;Publicações do dia : 25/06/2025 | Jornal TRIBUNAIS SUPERIORES;;;0000000051A6618F9402A146AA36444B12802DEC0700788CE02B293FAA428AFEAEB37B50E1E900000000010C0000788CE02B293FAA428AFEAEB37B50E1E900005ED4584E0000;html\2025-06-25_074710__Publicações do dia _ 25_06_2025 _ Jornal TRIBUNAIS SUPERIORES.html;2025-06-25_074710__Publicações do dia _ 25_06_2025 _ Jornal TRIBUNAIS SUPERIORES.html;
2025-06-25_071922;0;0;;Publicações do dia : 25/06/2025 | Jornal RIO DE JANEIRO;;;0000000051A6618F9402A146AA36444B12802DEC0700788CE02B293FAA428AFEAEB37B50E1E900000000010C0000788CE02B293FAA428AFEAEB37B50E1E900005ED4584C0000;html\2025-06-25_071922__Publicações do dia _ 25_06_2025 _ Jornal RIO DE JANEIRO.html;2025-06-25_071922__Publicações do dia _ 25_06_2025 _ Jornal RIO DE JANEIRO.html;
2025-06-25_063550;0;0;;Publicações do dia : 24/06/2025 | Jornal TRIBUNAIS SUPERIORES;"0036794-20.2012.4.01.3400; 1001682-16.2025.4.01.3400; 1003144-64.2023.4.01.3501; 1003983-48.2025.4.01.0000; 1005152-26.2023.4.01.3400; 1007378-52.2024.4.01.3502; 1008708-92.2025.4.01.3100; 1009637-42.2023.4.01.3700; 1012337-20.2025.4.01.3700; 1014059-06.2022.4.01.3600; 1017980-54.2023.4.01.3400; 1019271-55.2024.4.01.3400; 1022441-98.2025.4.01.3400; 1032233-22.2025.4.01.4000; 1033350-39.2024.4.01.3400; 1034867-45.2025.4.01.3400; 1039072-20.2025.4.01.3400; 1042765-80.2023.4.01.3400; 1048900-74.2024.4.01.3400; 1050467-43.2024.4.01.3400; 1052053-52.2023.4.01.3400; 1057366-23.2025.4.01.3400; 1062924-73.2025.4.01.3400; 1063763-98.2025.4.01.3400; 1065343-66.2025.4.01.3400; 1065767-16.2022.4.01.3400; 1072553-76.2022.4.01.3400; 1082891-41.2024.4.01.3400; 1083174-64.2024.4.01.3400";;0000000051A6618F9402A146AA36444B12802DEC0700788CE02B293FAA428AFEAEB37B50E1E900000000010C0000788CE02B293FAA428AFEAEB37B50E1E900005ED4584A0000;html\2025-06-25_063550__Publicações do dia _ 24_06_2025 _ Jornal TRIBUNAIS SUPERIORES.html;2025-06-25_063550__Publicações do dia _ 24_06_2025 _ Jornal TRIBUNAIS SUPERIORES.html;
2025-06-25_062509;0;0;;Publicações do dia : 23/06/2025 | Jornal PARANA;;;0000000051A6618F9402A146AA36444B12802DEC0700788CE02B293FAA428AFEAEB37B50E1E900000000010C0000788CE02B293FAA428AFEAEB37B50E1E900005ED458490000;html\2025-06-25_062509__Publicações do dia _ 23_06_2025 _ Jornal PARANA.html;2025-06-25_062509__Publicações do dia _ 23_06_2025 _ Jornal PARANA.html;
2025-06-25_062421;0;0;;Publicações do dia : 24/06/2025 | Jornal TRIBUNAIS SUPERIORES;;;0000000051A6618F9402A146AA36444B12802DEC0700788CE02B293FAA428AFEAEB37B50E1E900000000010C0000788CE02B293FAA428AFEAEB37B50E1E900005ED458480000;html\2025-06-25_062421__Publicações do dia _ 24_06_2025 _ Jornal TRIBUNAIS SUPERIORES.html;2025-06-25_062421__Publicações do dia _ 24_06_2025 _ Jornal TRIBUNAIS SUPERIORES.html;
2025-06-25_061804;0;0;;Publicações do dia : 24/06/2025 | Jornal TOCANTINS;"0006764-89.2024.2.00.0000; 0021136-50.2024.8.27.2729";;0000000051A6618F9402A146AA36444B12802DEC0700788CE02B293FAA428AFEAEB37B50E1E900000000010C0000788CE02B293FAA428AFEAEB37B50E1E900005ED458460000;html\2025-06-25_061804__Publicações do dia _ 24_06_2025 _ Jornal TOCANTINS.html;2025-06-25_061804__Publicações do dia _ 24_06_2025 _ Jornal TOCANTINS.html;
2025-06-25_055906;0;0;;Publicações do dia : 24/06/2025 | Jornal TRIBUNAIS SUPERIORES;"1005527-42.2023.4.01.0000; 1009444-54.2023.4.01.3400; 1010697-43.2024.4.01.3400; 1019521-25.2023.4.01.3400; 1026904-54.2023.4.01.3400; 1037326-69.2024.4.01.0000; 1064889-23.2024.4.01.3400; 1070048-78.2023.4.01.3400; 1117273-94.2023.4.01.3400";;0000000051A6618F9402A146AA36444B12802DEC0700788CE02B293FAA428AFEAEB37B50E1E900000000010C0000788CE02B293FAA428AFEAEB37B50E1E900005ED458450000;html\2025-06-25_055906__Publicações do dia _ 24_06_2025 _ Jornal TRIBUNAIS SUPERIORES.html;2025-06-25_055906__Publicações do dia _ 24_06_2025 _ Jornal TRIBUNAIS SUPERIORES.html;
2025-06-24_113604;0;0;;Publicações do dia : 23/06/2025 | Jornal PERNAMBUCO;"0810321-11.2025.4.05.0000; 0811341-66.2025.4.05.8300";;0000000051A6618F9402A146AA36444B12802DEC0700788CE02B293FAA428AFEAEB37B50E1E900000000010C0000788CE02B293FAA428AFEAEB37B50E1E900005ED458420000;html\2025-06-24_113604__Publicações do dia _ 23_06_2025 _ Jornal PERNAMBUCO.html;2025-06-24_113604__Publicações do dia _ 23_06_2025 _ Jornal PERNAMBUCO.html;
